subset_id,subset_label,config_slug,config_label,dropped,cost,n_outer_folds,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MedAE_mean,MedAE_std,R2_mean,R2_std,RMSLE_mean,RMSLE_std,RMSE_log_mean,RMSE_log_std,MAE_log_mean,MAE_log_std,R2_log_mean,R2_log_std,RMSE_ci,MAE_ci,MedAE_ci,R2_ci,RMSLE_ci,RMSE_log_ci,MAE_log_ci,R2_log_ci
640,budget_wireline_only,no_source,-Source,Source,7,7,198.79576840183927,92.66503992944652,67.38849989255668,42.82414113058903,6.468778710716863,7.612923503036191,0.04192696626466676,0.07609844806426948,0.8182547939743217,0.08647108282902215,0.8182547939743217,0.08647108282902215,0.6647588357687259,0.07229372273812945,0.5037446443319952,0.17424276791570176,284.4966365983097,106.99422474255384,13.509558644770397,-0.028452359881174394,0.8982272072812003,0.8982272072812003,0.7316193778731684,0.3425969612499906
640,budget_wireline_only,no_zone,-Zone,Zone,7,7,202.19847463324746,92.78443660280537,67.9132698346196,44.10174303873212,7.042636024850897,10.282999785291095,0.008122030262282722,0.06300353768815997,0.8052063045520258,0.09488762485672754,0.8052063045520258,0.09488762485672754,0.6544683924576233,0.08251716200180857,0.5146527638178227,0.19969372747219444,288.0097663354371,108.70057937740592,16.55282465623273,-0.050146523697607706,0.8929627209687678,0.8929627209687678,0.7307840388982673,0.3299668689993814
640,budget_wireline_only,no_depth,-DEPTH,DEPTH,7,7,197.7852536813725,90.38455211158207,67.1880931590667,43.02860267931114,7.554097634220263,11.42035142804939,0.048589474070226416,0.06498456348384128,0.8149148289811338,0.07391090239588893,0.8149148289811338,0.07391090239588893,0.6637034963831068,0.06733430198502373,0.5088015245935015,0.16929230465351733,281.3770224153999,106.98291340309402,18.11616109674965,-0.011511223174108243,0.8832710128163216,0.8832710128163216,0.7259773392899193,0.35223225641173284
640,budget_wireline_only,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",7,7,202.66493273459295,93.11207264922706,68.41047889769915,43.77320114463607,8.036698371508008,9.804916401171912,0.0018584399959117156,0.05031531925738538,0.8164811734451491,0.10350044159043928,0.8164811734451491,0.10350044159043928,0.6660795926972397,0.09132921750043943,0.5017219102207848,0.19906121290421475,288.7792372413115,108.89393786658638,17.104733617745712,-0.04467546909454618,0.912203116799107,0.912203116799107,0.750545031199735,0.3176209938112888
4096,cpor_sm_only_baseline,no_source,-Source,Source,10,7,192.50741814250426,94.2340662320922,64.35025315883334,42.27020891968349,4.990496966020082,5.893546817581339,0.09991906590777784,0.1479979428136486,0.7026531936186299,0.044194820195253885,0.7026531936186299,0.044194820195253885,0.5636442570517533,0.03734041127480539,0.63977335745425,0.0960881655998229,279.6593936439757,103.44367615871809,10.441118682773524,-0.03695620226324213,0.7435265851738909,0.7435265851738909,0.5981783776597042,0.5509066260355736
4096,cpor_sm_only_baseline,no_zone,-Zone,Zone,10,7,200.26822702799376,92.65310292532631,66.61324439167933,42.1344529702809,5.440540932285159,5.56522965641394,0.01935708441595631,0.12654914798607864,0.7388394738712086,0.04491198953677539,0.7388394738712086,0.04491198953677539,0.6008541997359098,0.04070752828798206,0.6026840805816681,0.09919888375687004,285.95805533695597,105.58111407895021,10.587519918433083,-0.09768135705223953,0.7803761364427998,0.7803761364427998,0.6385023841975865,0.510940414701231
4096,cpor_sm_only_baseline,no_depth,-DEPTH,DEPTH,10,7,195.64791021327042,93.40709320239266,65.36935166572252,43.15800585619203,5.128726051878969,6.753886116094488,0.0654183998035253,0.15395879510531424,0.7332397897823032,0.04977162421658463,0.7332397897823032,0.04977162421658463,0.5915909123901828,0.0513441532166377,0.602168962046246,0.1359626638236752,282.03506322425056,105.28384988770696,11.375028910973228,-0.07696973726579352,0.7792708648258949,0.7792708648258949,0.6390763341935805,0.47642447047892444
4096,cpor_sm_only_baseline,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",10,7,193.78568899570698,93.41963664347988,64.71957882752763,40.86765047005182,4.750978940634117,4.79250261177391,0.08613948339546447,0.15835212342149016,0.7229994135832862,0.05589888616510947,0.7229994135832862,0.05589888616510947,0.5823709730858574,0.04383783081994519,0.6160448715024576,0.11954289004762379,280.1844427548459,102.51585160850298,9.18330460493634,-0.06031180468803492,0.7746972607888021,0.7746972607888021,0.6229142045351694,0.5054861379002612
4550,best_performer,no_source,-Source,Source,21,7,190.10022537820637,79.53455872507038,62.21159485521645,37.78596180369373,5.109210380622403,5.923998783569899,0.09643605597902796,0.06860783417847914,0.6606333220172902,0.061616154900288204,0.6606333220172902,0.061616154900288204,0.5359575927310882,0.051015496772236796,0.6824254436263164,0.08574375528822355,263.6574238594395,97.15778097547062,10.587995468648291,0.032984392237752125,0.7176187609045278,0.7176187609045278,0.5831390580192244,0.60312569610318
4550,best_performer,no_zone,-Zone,Zone,21,7,196.03005635028399,81.74482955077684,63.81375210007104,38.36796912511085,5.119239189247543,5.899256412239661,0.04069058260298487,0.044979941704770265,0.6872319380608065,0.06114647371842289,0.6872319380608065,0.06114647371842289,0.5629580417542677,0.06034205013015667,0.6567055648627494,0.08878834108716709,271.63141440730317,99.2982052170278,10.575141400345355,-0.0009089252422654001,0.7437829943039309,0.7437829943039309,0.6187651302619374,0.5745900451080707
4550,best_performer,no_depth,-DEPTH,DEPTH,21,7,191.03997234300945,82.53854298047247,62.6828598642879,39.212971595533425,4.924596706470784,6.064335677191232,0.09363808268613164,0.07755476561157644,0.6682767420580215,0.05968135927385582,0.6682767420580215,0.05968135927385582,0.540445168869395,0.05266072543634758,0.6738976398767696,0.09267537729887852,267.3753928908656,98.94880992333323,10.533171773894523,0.02191188744846269,0.7234727934362887,0.7234727934362887,0.5891482168925449,0.5881872112081312
4550,best_performer,no_all_three,-all-three (DEPTH+Source+Zone),"DEPTH,Source,Zone",21,7,199.1007935729588,86.07928531157762,65.2038859568475,39.31887459924887,5.141642266460652,4.988720620840781,0.01756765788057194,0.051384171757942965,0.7169101524708344,0.07507842144346208,0.7169101524708344,0.07507842144346208,0.5919098604410858,0.07783606075097971,0.6304297964973024,0.07637564220112766,278.71085461162727,101.56777995861317,9.755439322191803,-0.029954774900605743,0.7863461113332506,0.7863461113332506,0.6638962102924544,0.5597941085325292
