baseline_slug,baseline_label,equation,swirr_proxy_note,subset_id,subset_label,metric,direction,nested_mean,baseline_mean,delta_nested_minus_baseline
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,RMSE,minimize,190.6072605596142,189.98704372554212,0.6202168340720675
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,MAE,minimize,62.31673565345384,64.51713794256113,-2.200402289107295
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,MedAE,minimize,5.02014922298487,4.856320327623143,0.16382889536172662
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,R2,maximize,0.09339463510120054,0.1015136755849176,-0.00811904048371706
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,RMSLE,minimize,0.6609583890390777,0.7243559616767737,-0.06339757263769608
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,RMSE_log,minimize,0.6609583890390777,0.7243559616767737,-0.06339757263769608
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,MAE_log,minimize,0.532871168078384,0.5794751064020999,-0.0466039383237159
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4550,best_performer,R2_log,maximize,0.6811716516805336,0.6177611730943628,0.06341047858617077
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,RMSE,minimize,194.20010522733384,189.98704372554212,4.213061501791714
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,MAE,minimize,64.9194237733867,64.51713794256113,0.40228583082556213
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,MedAE,minimize,4.916470806260768,4.856320327623143,0.060150478637624794
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,R2,maximize,0.07768944105678646,0.1015136755849176,-0.023824234528131136
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,RMSLE,minimize,0.7230293607206365,0.7243559616767737,-0.001326600956137236
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,RMSE_log,minimize,0.7230293607206365,0.7243559616767737,-0.001326600956137236
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,MAE_log,minimize,0.5790974916735147,0.5794751064020999,-0.0003776147285852183
loglinear_cpor_sm,Log-linear porosity-permeability (CPOR_SM),log10(k) = a + b*CPOR_SM,,4096,cpor_sm_only_baseline,R2_log,maximize,0.6155088154025693,0.6177611730943628,-0.0022523576917935495
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,RMSE,minimize,197.63893928050342,200.6328090037049,-2.9938697232014704
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,MAE,minimize,67.21223488094856,66.12597049579306,1.086264385155502
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,MedAE,minimize,7.754176761282346,6.096031298994006,1.6581454622883394
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,R2,maximize,0.05193232463434615,0.022096627450797,0.029835697183549146
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,RMSLE,minimize,0.8103382783746331,0.7917942178281319,0.018544060546501262
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,RMSE_log,minimize,0.8103382783746331,0.7917942178281319,0.018544060546501262
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,MAE_log,minimize,0.6570959168217856,0.6223199483746471,0.03477596844713848
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,640,budget_wireline_only,R2_log,maximize,0.5122970834238504,0.5368139770013299,-0.024516893577479548
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,RMSE,minimize,194.20010522733384,200.6328090037049,-6.432703776371056
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,MAE,minimize,64.9194237733867,66.12597049579306,-1.2065467224063582
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,MedAE,minimize,4.916470806260768,6.096031298994006,-1.1795604927332386
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,R2,maximize,0.07768944105678646,0.022096627450797,0.05559281360598946
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,RMSLE,minimize,0.7230293607206365,0.7917942178281319,-0.06876485710749536
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,RMSE_log,minimize,0.7230293607206365,0.7917942178281319,-0.06876485710749536
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,MAE_log,minimize,0.5790974916735147,0.6223199483746471,-0.04322245670113245
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4096,cpor_sm_only_baseline,R2_log,maximize,0.6155088154025693,0.5368139770013299,0.07869483840123936
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,RMSE,minimize,190.6072605596142,200.6328090037049,-10.025548444090703
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,MAE,minimize,62.31673565345384,66.12597049579306,-3.8092348423392153
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,MedAE,minimize,5.02014922298487,6.096031298994006,-1.0758820760091368
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,R2,maximize,0.09339463510120054,0.022096627450797,0.07129800765040353
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,RMSLE,minimize,0.6609583890390777,0.7917942178281319,-0.1308358287890542
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,RMSE_log,minimize,0.6609583890390777,0.7917942178281319,-0.1308358287890542
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,MAE_log,minimize,0.532871168078384,0.6223199483746471,-0.08944878029626313
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,4550,best_performer,R2_log,maximize,0.6811716516805336,0.5368139770013299,0.14435767467920368
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,RMSE,minimize,190.95657440914292,200.6328090037049,-9.676234594561976
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,MAE,minimize,62.925206091206086,66.12597049579306,-3.2007644045869696
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,MedAE,minimize,5.689628414680655,6.096031298994006,-0.40640288431335136
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,R2,maximize,0.09320586616111162,0.022096627450797,0.07110923871031462
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,RMSLE,minimize,0.6773043369279648,0.7917942178281319,-0.1144898809001671
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,RMSE_log,minimize,0.6773043369279648,0.7917942178281319,-0.1144898809001671
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,MAE_log,minimize,0.546739499537121,0.6223199483746471,-0.07558044883752613
timur_cpor_sm_swt,"Timur baseline (CPOR_SM, SWT as Swirr)",log10(k) = log(a) + b*log10(CPOR_SM) - c*log10(SWT),SWT used as Swirr proxy,8191,full_feature_baseline,R2_log,maximize,0.6653592776998262,0.5368139770013299,0.12854530069849623
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,RMSE,minimize,197.63893928050342,195.3126768926334,2.326262387870031
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,MAE,minimize,67.21223488094856,68.24734523293188,-1.0351103519833202
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,MedAE,minimize,7.754176761282346,7.003733488046531,0.7504432732358151
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,R2,maximize,0.05193232463434615,0.0715997301187856,-0.01966740548443946
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,RMSLE,minimize,0.8103382783746331,0.8536407985984723,-0.04330252022383918
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,RMSE_log,minimize,0.8103382783746331,0.8536407985984723,-0.04330252022383918
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,MAE_log,minimize,0.6570959168217856,0.6904426814618068,-0.033346764640021176
loglinear_phit,Log-linear porosity-permeability (PHIT),log10(k) = a + b*PHIT,,640,budget_wireline_only,R2_log,maximize,0.5122970834238504,0.4502678004366661,0.0620292829871843
